chr,en,num_words
ᎠᏎᏃ ᎨᏍᏗ ᎤᎶᎣᏒ ᏱᎨᏎ ᎠᏲᏟ.,But no child ever did.,5
ᎢᏧᎳᏃ ᎠᎬᏯᏗᏣ ᏕᏣᎳᏍᎬ ᏱᏕᏣᎳᏑᎶᎯ.”,So both your front feet will have shoes.,8
“ᎨᏂᏗ ᎦᏅᎵᏰᏓ ᏒᎧᏔ ᎠᏆᏚᎵᎭ.”,“I want a candied apple.”,5
"ᎠᎴ ᏓᏕᏲᎲᏍᎨ ᏧᏂᎳᏫᎢᏍᏗᏱ, ᎾᏂᎥᏃ ᎬᏩᎸᏉᏗᏳ ᎨᏎᎢ.","And he taught in their synagogues, being glorified of all.",10
ᎤᏕᏯᎵᏙᎴ ᎠᏥᏍᏚᏗ.,He raced round and round the pen.,7
“ᏄᏓᎴᏗ ᎯᎠ.,“But this is different.,4
ᎤᏓᏁᏅ ᎦᎵᏔᏅ ᎤᏁᏍᏓᎳ ᎢᎬᏓ ᎨᏎᎢ,His stomach was as big around as a jelly jar.,10
"ᎭᏂᏣ ᏫᏛᏓᏬᎢᏎᎢ, ᎠᏎᏃ ᎣᏂᏱ ᎨᏎᎢ.","He turned to swim away, but it was too late.",10
"ᏃᎴ, ᎪᎰᏍᏗ ᏂᎦᎵᏍᏗᏍᎬ ᎬᎩᏯᏂᏍᎬ ᎤᏁᏉᎥ.","And also, my invitations to parties increased.",7
”ᎦᏨ?”,“Where?”,1
ᏫᎵᎻ ᎤᎸᏖᎴᎢ.,Wilbur fainted away.,3
ᏄᏓᎴ ᏒᏆᎶᏍᏗ ᎭᏫᏂᏣ ᎱᎦᏓᎲᏍᎦ ᎠᎵᏰᎾ.,Asmeret looks under another log.,5
"ᎠᏎᏃ ᏍᎩᏴᏃ ᎤᏍᏗ ᏥᏍᏆ, ᏧᏃᎯᎵᏣᏁᎢ.","But, along came a little bird, a titmouse.",8
"“ᎤᎸᏕᎦ ᏏᏆ,” ᎤᏛᏁ ᎠᎳᏂ.","“The pig has passed out,” said Mrs. Zuckerman.",8
ᏥᏁᏥ ᎠᏆᏒᎭᏂᎸ.,I put my palm on my chest.,7
ᏍᎩᎾᎾ ᏱᎾᎾᏛᎦ ᎠᎴ ᏣᏉ.,They either will or they won’t.,6
"“ᎪᎨᏱ,” ᎤᏛᏁ ᎠᎦᏴᎵ ᎤᏃᏕᎾ, ᎠᏓᏅᏖᏍᎩ.","“Springtime,” said the old sheep, thoughtfully.",6
”ᎣᏍᏓ ᎠᏆᎦᏎᏍᏗᏕᎬ ᏃᎴ ᏍᏓᏯ ᏓᎩᎷᏫᏍᏔᏏ.”,“It was good management and hard work.”,7
ᎭᎾ ᎦᏚᏏ ᏍᏈᏍᏔ ᎨᏒ ᎤᏂᏍᎦᏎᏗ ᎢᎾᎨ ᎠᏁᎯ ᏏᏆ.,The bald was thick with feral hogs.,7
ᎨᏍᏗ ᏯᎩᏍᏕᎵᏍᎨ.,No help at all.,4
"“ᎠᎩᎵᏓᏍᏓ, ᎠᎩᎵᏓᏍᏓ, ᎠᎩᎵᏓᏍᏓ,” ᎤᏛᏁ ᏌᏌ ᎠᏨᏯᎢ.","“Sorry, sorry, sorry,” said the gander.",6
ᎩᎳᏈᏴ ᎤᏂᏴᏍᏔᎩᏍᏗ ᏓᎾᏗᏔᏍᎬ.,People drank deep to achieve immediate stupor.,7
”ᎤᏍᏆᏂᎩᏘ ᏏᏆ!” ᎤᏛᏁᎢ ᎰᎻ ᎡᏝᏪᎯ.,“Some pig!” whispered Mr. Zuckerrnan.,5
“ᎣᏏᏉᏍᎪ ᎤᎵᏍᏔᏴᏗ?”,“Appetite good?”,2
ᏗᏓᏁᎸ ᏓᏳᏂᎩᏓ ᎤᎷᏤ ᎠᎳᏂ.,Mrs. Zuckerman came walking down from the house.,8
ᏥᏍᏕᏥ ᎣᏍᏓ ᏄᏛᏁᎴ.,The rat had done his work well.,7
ᎢᎦᏁᎳᏅᎯᏰᏃ ᎠᏥᎸ ᎠᏓᎪᎲᏍᏗᏍᎩ.,for our God is a consuming fire.,7
ᎠᎦᏗᏓ ᏗᎩᎷᏫᏍᏔᏁᏗ ᎯᎪ ᎤᎵᏏᏂᏕᎾ.,I have a busy evening ahead of me.,8
“Ꮟ ᏎᎦ!” ᎤᏪᎷᏁ ᎡᎳᏆᏘ.,“Wait a minute!” cried Avery.,5
ᎨᏍᏗ ᎯᎸᎯᏳ ᏳᏩᎨᏫᏌ ᏌᎳᏓ.,Wilbur never forgot Charlotte.,4
ᎠᏥᎶᎥ ᏓᏥᏍᏔᏩᏕᏏ.,I’m abiding by the old lines.,6
ᎠᏓᏥ ᎨᏎᏍᏗ.,She is going to become a mother.,7
Ꮳ ᎤᏲ ᏱᎦᏣᏰᎸᎮᏍᏗ.,You’ll not be sorry.,4
"“ᏱᎦᏓᏅᏍᎬᎾ ᎠᏆᏗ ᎣᏍᏓ ᎠᎩᏰᎸᎰ,” ᎤᏛᏁ.","“I like to sit still,” she said.",7
"ᎣᏁ ᎢᏴ, ᎠᎵᎮᎵᎨ.","In the days that followed, he was very happy.",9
ᎤᏩᏃᏪᎢ ᏫᎵᎻ ᎤᏛᎦᎾ ᏄᏪᏒ ᎦᏬᏂᏍᎩ.,Wilbur trembled when he heard this speech.,7
ᎪᎰᏍᏗ ᏯᏆᏛᏁᎸᏓ.,Doing nothing.,2
ᎤᏓᏅᏎᏃ ᎢᎾᎨ ᏬᎶᏎ ᎠᎴ ᎠᏓᏙᎵᏍᏗᏍᎨᎢ.,"But he withdrew himself in the deserts, and prayed.",9
ᎤᎿᏛ ᎠᏒᏛ ᏗᎦᎾᎥ ᏗᏣ ᏭᎶᏎ ᏩᎭᏯ.,Wolf went to where the trap lay.,7
ᏍᏈᏍᏓ ᏧᎪᎲ ᏏᏆ ᎤᏂᎷᏨ ᏃᎴ ᎤᎾᎵᏛᏔᏅ ᏧᏂᏍᏆᏂᎪᏙᏗ.,She has seen many a spring pig come and go.,10
ᏓᎨᏏ.”,I’m going.”,2
ᏂᎦᏛᏃ ᎤᏮᏕᏦᏁ ᎠᎴ ᏚᎴᏁ ᎤᏍᏓᏩᏛᏎᎢ.,"And he forsook all, and rose up and followed him.",10
ᏂᎦᏓ ᎣᎪᎵᏍᏗ.,Doctors are supposed to understand everything.,6
ᎤᏁᎦ ᎦᎸᎶᎢ ᎧᏂᎩᏛ ᏥᏍᏆ.,The white sky was entirely free of birds.,8
ᎠᎵᏰᎾ ᎬᏂᎨᏒ ᏂᎬᏁ ᎫᎪᏗᏍᎩ ᏧᏆᎶᎦ ᏫᏚᎪᏍᎬ ᎦᏙᎯ.,"Asmeret shows us evidence of leaves decomposing into soil, too.",10
"Florida ᎢᎨᏅᏍᏗ ᎠᏆᏚᎵ, ᎤᏛᏅ Perry.","But I’m pulling for Florida, Perry said.",7
ᎠᏎ ᏓᎾᏓᏟᏱᏍᎪ ᏏᏆ ᏱᎨᏥᎸᎾ.”,Pigs always resist when they are being loaded.”,8
"ᏯᎵᏖᎸᎮᏍᎬᎾ ᎤᏬᏞ, ᎠᏓᏅᏖᏍᎨᎢ.","Hour by hour she sat motionless, deep in thought.",9
"ᎤᏂᏁᏨᏃ, ᎥᏝ ᏲᏥᎦᏔᎭ ᏧᏓᎴᏅᎢ, ᎤᎾᏛᏁᎢ.","And they answered, that they knew not whence it was.",10
ᎠᏆᏍᎦᏱᏛ ᏄᎵᏍᏔᏅ.,I became really scared.,4
ᎬᏪ!! ᎢᏍᏓᏯᏊ ᎤᏃᎸᏎ.,Kaweh!! It clanged hard.,4
ᎤᏛᏅᎢᏍᏛ ᏧᏓᏟᏴᏗ ᎤᏪᎵᏎ ᏣᎵ.,Charley took it that the bear was willing to fight.,10
"”ᎠᎳᏂ, ᎪᎱᏍᏗ ᎬᏃᎯᏎᏗ,” ᎤᏛᏁ.","“I’ve got something to tell you, Edith,” he said.",9
ᏙᎢᏳᏍᏘ ᏣᏂᎬᎦ?,What do you need?,4
ᎨᏍᏗ ᎪᎱᏍᏗ ᏣᏓᏅᏖᏙᏗ ᏱᎩ.,"Well, I don’t think you have anything to worry about.",10
ᏃᏗ ᏒᎾᎢ ᏃᎴ ᎠᎾᏓᎴᏴᏗᏍᎩ ᎢᏳᏂᏍᏗ ᎭᏁᎰᎢ ᎭᎾᏂ.,Then organisms like millipedes can still live there.,8
”ᎦᏨ ᎮᎵ ᏯᏇᎾ?”,“Where do you think I’d better go?”,7
ᏥᏛᏍᎩᏗᏍᎪ ᏒᎧᏔ ᎢᏗᎬᏓ ᏓᏛᎯᏍᏗᏍᎨ ᏒᎧᏔ.,Apples grew on his trees huge as dreams of apples.,10
ᎤᏩᎾᏬᏐᏁ ᎤᏂᏥ.,The snows melted and ran away.,6
ᏦᏚᎯ!,You are beautiful!,3
"ᎨᏍᏗ ᏱᏓᎬᏯᎵᏍᎪᎸᏓᏁᎵ ᏣᎵᏬᎢᏍᏗ, ᏫᎵᎻ.”","I am not going to let you die, Wilbur.”",9
ᏂᎦᏛ ᎤᎾᏓᏅᏘ ᏫᎨᏥᏲᎵᎭ.,All the saints salute you.,5
ᏕᎾᏓᎪᎲᏳ ᏫᎵᎻ ᏳᏨᏉᏛᎾ!,"Bye, bye, my humble Wilbur!",5
”ᎯᎠᎾ?” ᎤᏛᏛᏁ.,“How's this?” he asked.,4
"ᎤᎵᏍᏔᏴᏗ ᎦᎶᏙᏗ ᏭᏝᏁ ᎠᎵᏍᏔᏴᏗ ᎤᏂᏑᎸᏓ, ᏫᏥ ᏭᎶᏎ.","Lurvy dumped the slops, scraped the pail, and walked away.",10
ᏣᏍᎪ ᎤᏍᏆᏂᎩᏗ ᏰᎵᎠ?”,Don’t you regard that as a miracle?”,7
"“ᎭᏩ,” ᎤᏛᏁ ᎠᎳᏂ, “ᎤᏓᏅᎦᎸᏓᏗ ᎠᏌᎯ.","“Well,” said Mrs. Zuckerman, “he’s clean, anyway.",7
ᏁᎵ ᏍᏉᏎᎮᏍᏗ.”,“You may call me Nellie.”,5
ᎾᏍᎩᏯ ᎤᏕᏅ ᏱᎨᏒᎾ.,As if she had never lived.,6
ᏂᎦᏓ ᎤᎵᏛᏙᎾ.,Everything’s gone.,2
ᎩᎳᏈᏴ ᏄᎵᏍᏔᏅ.,Everything happened all at once.,5
"ᎠᏎᏃ ᏂᎨᎵᏍᎬ ᎦᏲᏟᏉ ᎤᏁᏉᏨ ᏰᎵ ᎪᎯᏓ ᏫᎫᏩᏂᎷᏨ ᎦᏚᏏ, ᎨᏍᏗ ᎪᎰᏍᏗ ᎤᏲᎢ ᏱᏂᏓᎦᎵᏍᏔᏂ ᎤᏁᎵᏎ, ᎱᏁᏅᏎ ᏱᏓᏚᎬᎾ ᎡᎶ ᏧᎾᎳᎩᏒ.",But I am afraid my efforts have produced little gain.,10
XIX. ᏧᏪᏥ ᏗᎦᎶᏙᏗ,XIX: The Egg Sac,4
ᏂᎦᏓ ᎤᎾᏛᎦᏁ ᏔᎳᏚ ᎤᏂᏃᎩᏓ.,Everybody heard the song of the crickets.,7
ᏑᏓᎵ ᎠᏰᎵ ᏔᎷᎩᏍᎩ ᎦᎵᎥᏂᎲ ᎤᏛᎦᏁ ᏫᎵᎻ.,At six-thirty Wilbur heard the banging of a pail.,9
ᎾᎾᏃ ᏩᎭᏯ ᎦᏂᏓᏛ ᏃᎴ ᏗᎦᎴᎾ ᏗᏍᏛᎦᏴᎮᏗ ᏄᎵᏍᏔᏁ.,Then Wolf's tail and ears stiffened.,6
ᎨᏍᏗ ᏱᏓᎨᏏ ᎤᏛᏅ ᏣᎵ.,"I’m not going, Charley said.",5
ᏕᎦᏁᎲ ᏧᏩᏍᏉᎸ ᏂᏕᎦᎵᏍᏗᏍᎨ.,Gouts became drops.,3
"”ᏤᏍᏗ ᏱᏣᏓᏅᏖᏗᏍᎨᏍᏗ, ᏓᏣᎾᏲᏏ,” ᎤᏛᏁ ᏧᏍᏆᏴᏍᏗ.","“Don’t worry, you'll get used to it,” said Templeton.",9
ᏃᏗ ᎭᏫᏂ ᎤᏛᎴᎮ.,Then she sighed.,3
ᎪᎱᏍᏗ ᏳᏛᏅᎾ ᎤᏪᏅᏎ.,"Without saying anything to anybody, he started off.",8
ᏓᎳᏚ ᎠᎴ ᎦᎵᏆᏚ ᎢᏳᏕᏘᏴ ᎨᏎ.,"She was sixteen or seventeen, somewhere in there.",8
ᎨᏍᏗ ᎪᎱᏍᏗ ᏧᎾᎵᎬᏩᏟ ᏱᎩ ᏏᏆ.”,Pigs mean less than nothing to me.”,7
ᏑᎾᎴ ᎠᎴᏂᏍᎨᏍᏗ ᎠᎾᏓᎪᎾᏗᏍᎬ.,Tomorrow would be Fair Day.,5
ᏐᏉ ᎧᏅᏂᏍᎩ ᎠᏦᏴ ᎦᏚ ᏭᎩᎸᏁᎢ.,One spider climbed to the top of the fence.,9
“ᏣᏉᏍᎪ ᏯᏕᎶᎰᏍᎦ ᏓᎩᎷᏫᏍᏔᏁᎲ? ᏰᎵ ᎤᏂᎦᎸᎯ ᏄᏪᏎ ᎡᎳᏆᏗ.,“Can’t you see I’m busy?” replied Avery in disgust.,9
"“ᎲᏥᎷᎩ,” ᎤᏎᎦᎳᎯ ᏄᏪᏎ.","“I’m back,” he said in a husky voice.",8
“ᎭᏦᎣᏓ ᏏᏆ ᎭᏩᏧ!” ᎤᏛᏁ ᏍᏓᏯ ᎦᏬᏂᏍᎩ.,"“Unload your pig, please!” said the loud speaker.",8
ᎠᏎᏃ ᏍᏉ ᏄᏍᏕ.,But being goes on regardless.,5
"ᎨᏍᏗ ᏥᏓᎯ ᏱᎩ, ᏫᎵᎻ.","I’m not young any more, Wilbur.",6
"ᎤᏁᎷᏁ ᎠᏂᏍᎦᎡᎲᎢ, ᏓᏃᏱᏁᎲ ᏚᏃᎰᏎᎴ.","They cried out with fear, dropping their burdens.",8
Ꮭ ᏳᏚᎵᏍᎨ ᏣᎳᎩ ᎢᏗᏁᎬ ᎤᏍᎪᎸᏍᏗ.,He did not want their Cherokee voices to fade away.,10
ᏤᏍᏗ ᏯᎵᏗᏒᏂᎮᏍᏗ!”,Stop thrashing about!”,3
ᎦᏨ ᎮᎵᎠ ᎮᎦ?”,“Where do you think you’re going?”,6
ᎣᏍᏓ ᏳᏂᏰᎸᎲᎾ ᏚᎾᏓᎧᎾᏁᎢ ᎤᏂᏃᏕᎾ.,The sheep looked at each other in disgust.,8
"ᎠᏏᏉ ᎾᏍᎩ ᎯᎠ ᏂᎦᏪᏍᎬᎩ, ᎤᏂᏣᏛ ᎬᏬᎯᏳᏅᎩ.","As he spake these things, many believed on him.",9
"”Ꭷ ᎲᎦ ᏄᏍᏗ, ᎠᎬᏱ ᎠᎴᏂᏍᎬ Ꭴ.”","“Now let's see, the first letter is T.”",8
"“ᎯᎠᎾ, “ᏭᏔᏅᎢ ᏏᏆ”? ᎤᏛᏛᏁ ᏐᏉ ᎤᏃᏕᎾ ᎠᏓᎯ.",“How about ‘Pig Supreme’?” asked one of the lambs.,9
"”ᏂᏪᏏᎭᏉᏗᎾ,” ᎤᏛᏁ.","“You’re kidding,” he said.",4
ᎾᏍᎩᏰᏃ Ꮎ ᎤᏲᎱᏒᎯ ᎤᏚᏓᎳᎡᎸᎯ ᎨᏐ ᎠᏍᎦᏂ.,for he that hath died is justified from sin.,9
“ᎠᎴ ᏨᏌᎨ ᎰᏒᏍᎦ?”,“Or are you just making it up?”,7
"“Ꭵ, ᎨᎵᎠ ᏍᎩᎾᎾ ᎢᏳᎾᏛᏁᏗ,” ᎤᏛᏁ ᎪᏱᏁᎢ, ᏎᎦᏨ.","“Yes, I suppose they do,” said Mrs. Arable, vaguely.",9
“ᏃᏗ ᏙᎢᏳᏍᏗ ᏄᎵᏍᏔᏁᎢ?” ᎤᏛᏛᏁ ᏫᎵᎻ.,“Then what happened?” asked Wilbur.,5
ᏄᏓᎴᏒ ᎪᎱᏍᏗ ᎢᏥᎪᎵᏰᏍᎨᏍᏗ; ᎠᏍᏓᏯ ᏕᏥᏂᏴᏎᏍᏗ ᎾᏍᎩ Ꮎ ᎣᏍᏛ ᎨᏒᎢ.,prove all things; hold fast that which is good;,9
ᏲᎾ ᎣᎦᎦᏙᏍᎬ ᏍᎩᏴ ᎢᎦ.,Bear was a spectator that day.,6
ᏂᎦᏓ ᎤᏂᎾᎥ ᏕᎯᎩᎣᎲᏏ.,You took all they had.,5
ᎠᏂᏧᏣᎾ---ᏗᎪᎵᎩᎨ ᎠᏂᏧᏣ?”,How about boys — does she know any boys?”,9
"ᎡᎶᎯᏰᏃ ᎤᎬᏫᏳᎯ ᎤᏤᎵᎦ, ᎠᎴ ᎾᏍᎩ Ꮎ ᎡᎶᎯ ᏣᎧᎵᎢᎭ.","for the earth is the Lord’s, and the fulness thereof.",10
ᎡᎵᏍᎨ ᎠᎾᏛᎩᏍᎨ ᎦᎾᏁᏍᎬ.,And he guessed they could hear him too.,8
ᎠᎴ ᏞᏍᏗ ᎡᏥᎳᏅᏓᏕᎸᎩ ᎠᏍᎩᎾ.,neither give place to the devil.,6
"ᏕᎯᎸᏉᏕᏍᏗ ᏧᏃᏑᎶᏨᎯ, ᎢᏳᏃ ᎤᏙᎯᏳᏒ ᏧᏃᏑᎶᏨᎯ ᏱᎩ.",Honor widows that are widows indeed.,6
"ᎢᎦ ᎤᏟᏂᎪᏎ, ᎠᎯᏗᎨ ᎦᎷᎨ ᏑᎾᎴ.","The light strengthened, the mornings came sooner.",7
ᎡᏓᎴᏫᏍᏙᏙᏗ ᎠᎾᏗᏍᎨᎢ.,We have to make him stop.,6
“ᎠᎩᏥ ᎠᏇᏲᏅ.”,“My mother taught me.”,4
ᎣᎯᏍᏙᏗ ᎠᏒᏍᏗ ᎠᏆᏚᎵᎭ ᏥᏲᏎᎸ.,"I’d like your best cabin, I said.",7
“ᏙᎤᏍᏗ ᎧᏃᎮᏗ ᎤᏃᎮᎴ?” ᎤᏓᏛᏛᏁ ᎪᏱᏁᎢ.,“What kind of story did she tell?” asked Mrs. Arable.,10
ᎦᎪᏍᏂ ᎤᏤᎵᎠ ᎠᎭᏂ ᎢᎾᎨᎢ ᎠᏆᏂᏔ ᎨᎵᎠ.,Whose woods these are I think I know.,8
ᎥᏆᏒᏲᏍᏔᏅ.,Adopted.,1
ᎭᏗᏔ ᎠᎴ ᏣᏉ ᎠᏆᏛᏅ.,"Either drink it or don’t, I said.",7
ᏓᏆᎴᎳ ᎠᏌᏅᏙᏗ ᏭᏂᏌᏕ ᎧᏁᏌᎢ ᎠᏯᎥ ᏫᎵᎻ.,Wilbur was loaded into the truck.,6
ᏍᎩᏃ ᎢᎾᏓ ᎨᏍᏗ ᎯᎸᎯᏳ ᏔᎵᏁ ᏳᏂᎪᎮ ᎠᎴ ᏳᎾᏛᎪᏓᏁᎢ.,And the serpent was never seen or heard from again.,10
"“Ꭰ,” ᎤᏛᏁ ᏫᎵᎻ.","“A,” said Wilbur.",3
ᎪᏍᏓᏱ ᏗᎦᏥᏙᏗ ᎦᏰᏌᏗ ᎠᏓᏪᎯ ᏥᎨᏎᎢ ᏃᎴ ᏂᎪᎯᎸ ᏧᏲᏏᏍᎨᎢ.,Spearfinger had magic powers and she was always hungry.,9
"“ᎠᏯᏗ ᏍᏉ ᏓᎨᏏ,” ᎡᏝᏪᎯ ᏄᏪᏎ.","“I shall go, too,” she said, softly.",7
”ᏓᏓᎾᏁᎶᏂᎨ?” ᎤᏛᏛᏁ.,“Will you come over and play with me?” he asked.,10
"ᎠᎴ ᏧᎵᏍᎪᎸᏓᏁᏗᏱ ᏚᏂᏢᎬ ᏧᏂᏅᏬᏗᏱ, ᎠᎴ ᎠᏂᏍᎩᎾ ᏧᏂᏄᎪᏫᏍᏗᏱ;",and to have authority to cast out demons:,8
ᎩᎶᎨ ᏯᏆᏙᎳᏍᏛ?,Anybody got a loaner?,4
"ᏃᏉ ᎠᏂᏳᏩᏁᎦ ᎠᏂᏁᎬ ᏃᎴ ᎠᏂᏴᏫᏯ ᎠᏂᏁᎬ, ᎢᏧᎳ ᎫᏩᎭᏲᎲ.",Now white voices and Indian voices both hunted him.,9
"ᎠᏎᏃ ᎭᏕᏬ-“ᎠᏂᏍᎦᏯ ᎨᏒ ᎤᏟᏍᏓ, ᎤᏟᏍᏓ, ᎤᏟᏍᏓ, ᎢᎪᎯᏓ.","But no—with men it's rush, rush, rush, every minute.",9
Ꮟ ᏐᏉ ᏄᎳᏏᏁᎢ ᏔᎷᎩᏍᎩ ᎢᏣ.,He took another step toward the pail.,7
ᏃᎴ ᏓᎭᏃᏫ ᎨᏍᏗ ᏱᏓᏲᎩᏍᏆᏂᎪᏔᏂ.,And neither would war save them.,6
"ᏦᎢᏁ ᎤᏒᎯ, ᏧᎩᎾᎭᏄᏫ ᏙᎩᏂᏢᏅ ᏦᎩᏂᏯᏪᏨ.","On the third night, we fell asleep fully clothed, exhausted.",10
ᎠᏎᏃ ᎨᏍᏗ ᎪᎱᏍᏗ ᎠᏤᎯ ᏯᎪᏩᏘᏍᎨᎢ.,But he saw nothing new.,5
ᏄᏓᎴ ᎤᏍᏆᏂᎩᏗ.,Another miracle.,2
“ᏰᎵᏉᎨ ᎠᏕᎳ ᏱᏕᏍᎬᏏ?” ᎤᏛᏛᏁ ᏲᎾ ᎤᏤᏍᏙ.,“Can I have some money?” asked Fern.,7
ᎭᏟᏃᎮᏔᏁ ᎠᏓᏅᏖᎵᏙ?,You talked with that colonel?,5
ᏗᎦᏅᏍᎨ ᎠᏎ ᏗᎬᏙᏗ.,That takes real leg work.”,5
"“ᏂᎦᏓ ᎯᏥᏴᎭᎦ,” ᏧᏛᏁᎢ ᎡᎶᏗ.",“Everybody in!” called Mr. Arable.,5
"ᎭᏓᏅᏗᏍᏗᏍᎨᏍᏗ, ᎭᏓᏅᏗᏍᏗᏍᎨᏍᏗ!” ᎤᏛᏁ ᏌᏌ.","Dodge about, dodge about!” cried the goose.",7
ᎢᏳᏍᏗᏉ ᎨᏒ ᎠᎾᏛᎩᏍᎪ ᏗᏂᏲᏟ.,Kids think they hear all sorts of things.”,8
ᎤᏙᏓ ᏚᎧᎾᏁ.,Fern looked at her father.,5
ᏥᏍᏆᏯ ᏧᎶᎸᏗ ᎦᏁᏥᎢ ᎤᎷᏤ ᏚᏃᎩᏎ.,A sparrow with a streaky breast arrived and sang.,9
"ᎾᏍᎩ ᏣᏓᏁᎳᏅᎯ ᏥᎩ ᎾᏂᎥ ᏴᏫ ᎠᏂᎦᏔᎲᎢ,",Which thou hast prepared before the face of all peoples;,10
"“ᎤᏙᏳᎯ,” ᎤᏛᏁ ᎦᏂᎦᏔ.","“Sure,” said the doctor.",4
ᏐᏈᎵ ᏃᎴ ᏩᎦ ᏧᏂᏍᏆᏂᎪᏙᏗ ᎢᏣ ᎱᏁᏅᏎ ᏗᏂᏲᏟ.,The children walked slowly up toward the barn.,8
"“ᎡᎭ, ᏒᎦᎾᏲᎪ!” ᎤᏪᎷᏁ ᎰᎻ, ᏂᎦᏓ ᎦᏓᏁ ᎨᏎ.","“For goodness’ sake!” bellowed Mr. Zuckerman, who was really drenched.",10
"ᏧᏙᏓᏋᏓ ᏕᎦᎶᏍᎬ, ᎠᏛᏍᎨᎢ ᏫᎵᎻ.","As the days went by, Wilbur grew and grew.",9
"“ᎠᏯᏗ ᏍᏉ,” ᎱᏛᏁᎢ ᏄᏓᎴ ᏂᎦᏪᏍᎬ.","“So am I,” said another tiny voice.",7
ᎤᏛᏐᏅ.,An old man.,3
"“ᏙᏕᏣᏙᎠ?” ᎤᏛᏛᏁ ᏫᎵᎻ, ᎤᏩᏃᏫᏍᎨ ᎠᎵᎮᎵᎬ.","“What are your names, please?” asked Wilbur, trembling with joy.",10
"“ᎣᏍᏓ, ᎠᎦᏗᏓ ᎣᏍᏓ ᎠᎩᏰᎸᎭ,” ᎤᏛᏁ ᏦᎢᏁ ᎧᏅᏂᏍᎩ.","“fine, I like that very much,” said the third spider.",10
ᏂᎦᏓ ᎡᎾᎢ ᏓᎦᎵᏬᏥ ᎯᎸᎢᏴ.,Everything that is living will die one day.,8
”ᏓᎨᏣᎵ.,“Kill you.,2
ᎠᏍᏆᏓ,The end,2
ᎧᏂᎩᏛ.,None.,1
ᎠᎳᏂ ᎤᏚᎵᏍᎨ ᎭᏫᏂ ᏗᎦᏁᏍᏔᎳᏗᏍᏗᏍᎩ ᎤᎪᏩᏛᏗ.,Mrs. Zuckerman wanted to see a deep freeze.,8
”ᏗᏁᎸᏙᏗᎩ?,“Plaything?,1
ᏍᎩᏄᏍᏛ ᎧᏃᎮᏍᎬ ᎪᏪᎵ.,At least that’s the story the book told.,8
“ᎭᎴᏫᏍᏔ ᏥᏕᎰᏒᏍᎦ ᏳᏙᎯᏳᎲᎾ!”,Stop inventing these wild tales!”,5
"ᎤᎾᎵᎮᎵᏤᏃ, ᎠᎴ ᎬᏩᏁᏤᎴ ᎠᏕᎸ ᏗᎬᏩᏁᏗᏱ.","And they were glad, and covenanted to give him money.",10
ᎣᏍᏓ ᎱᎵᏍᏓᏴᏁ ᏫᎵᎻ.,Wilbur ate heartily.,3
ᏣᏚᎵᎭᎨ ᎪᏪᎵ ᏦᏪᎶᏗ ᎩᏃᎯᏳᏅ?,Care to memorialize this agreement on paper?,7
ᎨᏍᏗ ᎫᏓᎸᏉᏙᏗ ᏱᎩ ᎭᏂ.,There’s no honor here.,4
”ᏨᏌ ᏫᎪᏩᏔ.”,“Come and see for yourself.”,5
ᎨᏍᏗ ᏐᏉ ᎢᏯᏔᏬᏍᏔᏅ ᏳᎦᏘᏓ ᏥᏍᏕᏥ.,The rat didn’t waste a minute.,6
"“ᏤᏍᏗ ᏱᏣᏓᏅᏖᏗᏍᎨᏍᏗ,” ᎤᏛᏁ ᎦᏂᎦᏔ.","“Then don’t worry,” said the doctor.",6
"ᎢᎪᎯᏓ ᎢᎦ ᏒᎮᏱᏣ ᏪᏙᎰ ᎭᎾᏂ, ᏣᎨ?","You go there almost every afternoon, don’t you?”",8
ᎤᏟᏍᏓ ᎤᏓᏅᏖᏗ ᎨᏎᎢ.,He knew he would have to act quickly.,8
"ᎠᏓᏍᏓᏴᏗ, ᎩᎳᏈᏴ ᏚᏃᏣᏝᏁᎢ ᎠᎳᏂ.","In the kitchen, Mrs. Zuckerman suddenly made an announcement.",9
“ᎠᏂᏴᏫᏯᏃ ‘ᎠᎳᏑᎶ’ ᏓᏃᏎᎰ…”,"Among humans, they call it a 'shoe.'",7
"ᏦᏣᎢᏒ, ᏙᏧᏔᎩᏍᏔᏅ ᎣᎭᏂ ᎠᏁᎩ ᎤᎾᎵᏓᎩᏛ.","Along the way, we collected a few more fugitive stragglers.",10
ᎯᎠᏃ ᎤᎵᏬᏨ ᏧᎬ.,This is a dead tree.,5
ᎤᏍᎦᏃᎵ ᎤᎧᏐᏔᏂᎴ ᎦᎸᎳᏗ ᏓᏳᎶᏒ ᏲᎾ ᎤᏤᏍᏙ.,Fern came slowly down the stairs.,6
ᎣᏍᏓ ᎤᏰᎸᎯ ᏚᎧᏙᏍᏕᎢ ᏌᎳᏓ.,Charlotte watched in delight.,4
ᏂᎦᏛᏃ ᎤᎾᎵᏍᏓᏴᏁᎢ; ᎠᎴ ᏚᏃᎸᏎᎢ.,"And they all ate, and were filled.",7
"ᏤᏍᏗ ᏱᏍᎦᎢᎮᏍᏗ, ᏫᎵᎻ-“ᎨᏍᏗ ᎪᎱᏍᏗ ᏣᏓᏅᏕᏙᏗ ᏱᎩ.","You have nothing to fear, Wilbur—nothing to worry about.",9
